id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4604,156,Mastercard,Debit (Prepaid),2147483647,12/2016,599,YES,1,$64,09/2006,2010,No
5816,332,Mastercard,Credit,2147483647,10/2024,160,NO,1,$7900,12/2004,2012,No
2694,1229,Mastercard,Debit (Prepaid),2147483647,10/2023,421,YES,2,$74,04/2012,2012,No
2882,1444,Mastercard,Debit,2147483647,11/2020,637,YES,2,$32049,05/2005,2005,No
2533,1666,Mastercard,Credit,2147483647,02/2009,395,YES,1,$12700,04/2007,2015,No
6073,2,Mastercard,Debit,2147483647,08/2024,813,YES,2,$16491,12/2012,2012,No
5828,1528,Discover,Credit,2147483647,02/2014,854,YES,2,$16400,12/2005,2008,No
3012,1096,Mastercard,Credit,2147483647,10/2020,52,YES,2,$5500,05/2009,2009,No
4665,768,Mastercard,Debit,2147483647,04/2024,84,YES,1,$11105,09/2008,2009,No
3644,1194,Visa,Debit,2147483647,11/2019,556,YES,2,$17245,06/2019,2019,No
4588,509,Visa,Debit,2147483647,07/2022,519,YES,1,$12721,09/2005,2015,No
3170,459,Visa,Credit,2147483647,07/2022,32,YES,1,$6300,05/2015,2015,No
4176,1993,Mastercard,Debit,2147483647,05/2015,347,YES,1,$36982,08/2006,2009,No
993,1666,Visa,Debit,2147483647,10/2020,930,YES,1,$9418,02/2001,2012,No
4180,1995,Mastercard,Debit,2147483647,01/2020,29,YES,2,$5997,08/2006,2012,No
4722,1526,Mastercard,Debit (Prepaid),2147483647,10/2020,558,YES,1,$77,09/2009,2009,No
3222,803,Discover,Credit,2147483647,10/2005,728,YES,2,$15300,06/2001,2011,No
514,678,Mastercard,Debit,2147483647,09/2024,157,YES,1,$11254,01/2020,2020,No
3321,982,Mastercard,Debit,2147483647,04/2013,820,YES,1,$21358,06/2006,2010,No
97,946,Mastercard,Debit,2147483647,02/2021,606,YES,1,$12925,01/2006,2010,No
5034,1500,Visa,Debit,2147483647,02/2018,457,YES,2,$18494,10/2005,2007,No
312,571,Mastercard,Debit,2147483647,02/2023,150,YES,2,$13019,01/2013,2013,No
1199,398,Visa,Debit,2147483647,03/2021,290,YES,1,$17111,02/2009,2010,No
689,1550,Mastercard,Debit,2147483647,12/2024,410,YES,1,$44717,01/2020,2020,No
325,376,Visa,Credit,2147483647,03/2013,650,YES,1,$9200,01/2013,2013,No
4530,1171,Discover,Credit,2147483647,11/2021,66,YES,2,$8300,09/2003,2011,No
1054,683,Mastercard,Debit,2147483647,02/2023,905,YES,1,$14868,02/2005,2013,No
5343,1068,Visa,Debit,2147483647,07/2023,98,YES,1,$10448,10/2019,2019,No
3598,1281,Visa,Credit,2147483647,08/2021,36,YES,2,$6600,06/2015,2015,No
3548,832,Mastercard,Credit,2147483647,10/2024,647,YES,1,$10900,06/2012,2012,No
2831,1303,Visa,Debit,2147483647,05/2015,804,YES,1,$20699,05/2002,2008,No
2248,1253,Mastercard,Debit,2147483647,03/2016,927,NO,1,$29637,03/2010,2010,No
1482,1399,Mastercard,Credit,2147483647,08/2022,991,YES,1,$8700,02/2020,2020,No
885,434,Visa,Debit,2147483647,04/2022,423,YES,2,$21916,01/2020,2020,No
33,1944,Visa,Credit,2147483647,09/2021,383,YES,1,$11100,01/2002,2009,No
2044,1074,Mastercard,Credit,2147483647,07/2022,396,YES,2,$4800,03/2003,2011,No
3879,497,Amex,Credit,2147483647,10/2019,760,YES,1,$15400,07/2009,2017,No
3388,480,Mastercard,Credit,2147483647,01/2022,821,YES,2,$24800,06/2008,2013,No
6101,421,Mastercard,Debit,2147483647,08/2024,626,YES,2,$16094,12/2014,2014,No
3205,873,Mastercard,Debit,2147483647,10/2022,314,YES,2,$28405,06/1998,2008,No
3066,173,Mastercard,Debit (Prepaid),2147483647,12/2021,508,YES,2,$44,05/2010,2010,No
2566,956,Mastercard,Debit,2147483647,03/2012,643,YES,2,$2355,04/2008,2009,No
5804,1148,Amex,Credit,2147483647,03/2022,96,NO,2,$9300,12/2004,2014,No
1908,1271,Visa,Credit,2147483647,03/2024,100,NO,1,$10900,02/2020,2020,No
3067,1412,Mastercard,Credit,2147483647,07/2021,505,YES,1,$12800,05/2010,2016,No
5837,1247,Mastercard,Credit,2147483647,05/2022,742,NO,2,$5700,12/2005,2010,No
4269,775,Visa,Debit,2147483647,10/2023,790,YES,2,$17816,08/2008,2016,No
3367,1967,Visa,Debit,2147483647,09/2020,383,YES,2,$38120,06/2007,2011,No
6026,176,Visa,Debit (Prepaid),2147483647,12/2019,787,YES,2,$57,12/2010,2017,No
4655,1783,Amex,Credit,2147483647,09/2020,876,YES,2,$9400,09/2008,2008,No
6105,1602,Mastercard,Credit,2147483647,06/2022,806,NO,2,$7200,12/2015,2015,No
1652,508,Mastercard,Debit,2147483647,01/2022,850,YES,2,$24203,02/2020,2020,No
5002,798,Amex,Credit,2147483647,08/2010,66,YES,1,$13900,10/2004,2010,No
377,1759,Visa,Debit,2147483647,06/2023,343,YES,2,$15773,01/2018,2018,No
2851,1425,Discover,Credit,2147483647,08/2020,620,YES,2,$2900,05/2004,2011,No
5216,1060,Visa,Debit,2147483647,05/2023,199,YES,2,$14114,10/2010,2010,No
791,1304,Visa,Credit,2147483647,02/2020,681,YES,1,$21000,01/2020,2020,No
5479,615,Amex,Credit,2147483647,04/2021,207,YES,1,$19900,11/2007,2011,No
5947,92,Visa,Debit,2147483647,09/2023,150,YES,2,$8280,12/2008,2017,No
37,840,Mastercard,Debit,2147483647,10/2023,258,YES,2,$5269,01/2003,2016,No
5493,69,Mastercard,Credit,2147483647,12/2022,439,YES,1,$9300,11/2007,2014,No
231,938,Mastercard,Credit,2147483647,09/2023,123,YES,1,$12500,01/2010,2012,No
5128,1179,Mastercard,Debit,2147483647,10/2021,213,YES,2,$20026,10/2008,2010,No
3596,1776,Visa,Credit,2147483647,05/2021,81,YES,2,$11100,06/2015,2015,No
163,550,Mastercard,Credit,2147483647,04/2022,398,YES,2,$4200,01/2008,2008,No
525,1160,Mastercard,Debit,2147483647,09/2024,948,YES,1,$14168,01/2020,2020,No
5760,601,Mastercard,Credit,2147483647,10/2018,824,YES,2,$10800,12/1999,2005,No
4295,727,Mastercard,Debit,2147483647,04/2018,920,YES,1,$19086,08/2009,2011,No
2705,1303,Visa,Debit,2147483647,11/2020,859,YES,2,$31662,04/2012,2012,No
3287,1075,Mastercard,Debit,2147483647,04/2022,861,YES,1,$29964,06/2005,2014,No
1462,128,Mastercard,Credit,2147483647,01/2024,849,YES,2,$7800,02/2020,2020,No
3060,1695,Mastercard,Credit,2147483647,07/2022,302,YES,2,$12700,05/2010,2015,No
2429,1595,Mastercard,Debit,2147483647,08/2023,338,YES,1,$17749,04/2002,2011,No
2542,1048,Mastercard,Debit,2147483647,06/2014,575,YES,2,$22527,04/2007,2011,No
2684,1546,Visa,Debit,2147483647,06/2024,339,YES,2,$19015,04/2011,2011,No
2137,247,Discover,Credit,2147483647,11/2023,526,NO,2,$10200,03/2007,2010,No
1702,903,Mastercard,Debit (Prepaid),2147483647,04/2023,492,YES,2,$60,02/2020,2020,No
2973,1903,Mastercard,Credit,2147483647,05/2021,233,YES,2,$14900,05/2008,2008,No
818,797,Visa,Debit,2147483647,01/2020,143,YES,2,$32922,01/2020,2020,No
1558,1570,Mastercard,Debit (Prepaid),2147483647,04/2021,756,YES,2,$74,02/2020,2020,No
3570,1854,Mastercard,Credit,2147483647,06/2020,400,YES,1,$7200,06/2013,2013,No
3600,576,Visa,Debit,2147483647,07/2020,377,YES,1,$21070,06/2015,2015,No
1405,93,Amex,Credit,2147483647,09/2024,557,YES,2,$11400,02/2020,2020,No
3794,122,Visa,Credit,2147483647,03/2020,331,YES,2,$8200,07/2006,2013,No
1959,1254,Visa,Debit,2147483647,11/2022,113,NO,2,$20674,02/2020,2020,No
5228,791,Amex,Credit,2147483647,09/2021,24,YES,1,$10100,10/2011,2015,No
3728,818,Amex,Credit,2147483647,10/2005,759,YES,2,$500,07/2005,2009,No
4101,1236,Mastercard,Debit,2147483647,09/2022,337,NO,2,$6775,08/2001,2012,No
397,63,Amex,Credit,2147483647,01/2020,792,NO,1,$6600,01/2020,2020,No
2896,470,Mastercard,Debit,2147483647,01/2013,29,YES,2,$2704,05/2006,2013,No
5889,1324,Mastercard,Debit,2147483647,12/2023,898,YES,3,$8889,12/2007,2013,No
2443,369,Mastercard,Credit,2147483647,11/2021,990,NO,1,$13600,04/2003,2012,No
1486,130,Mastercard,Debit (Prepaid),2147483647,07/2024,453,NO,1,$58,02/2020,2020,No
3272,1340,Mastercard,Debit,2147483647,08/2021,165,YES,1,$18462,06/2004,2007,No
578,27,Mastercard,Credit,2147483647,03/2022,546,YES,2,$7000,01/2020,2020,No
3312,578,Mastercard,Debit,2147483647,06/2006,482,YES,1,$17167,06/2006,2007,No
4469,1276,Mastercard,Debit,2147483647,04/2022,851,YES,1,$17688,08/2018,2018,No
3876,1240,Visa,Debit,2147483647,08/2022,915,YES,1,$23169,07/2008,2011,No
2761,1814,Mastercard,Debit,2147483647,07/2016,47,YES,1,$17895,04/2016,2016,No
5756,1737,Mastercard,Debit,2147483647,04/2024,192,YES,1,$24132,12/1998,2008,No
1786,607,Visa,Credit,2147483647,10/2023,582,YES,2,$7900,02/2020,2020,No
5703,704,Visa,Debit,2147483647,03/2024,281,YES,2,$49425,11/2014,2014,No
4341,394,Visa,Debit,2147483647,07/2021,740,NO,2,$25808,08/2010,2010,No
3498,1063,Visa,Credit,2147483647,06/2023,408,YES,1,$9300,06/2010,2010,No
5486,659,Mastercard,Credit,2147483647,02/2022,522,YES,2,$10500,11/2007,2011,No
1217,962,Mastercard,Debit,2147483647,07/2022,633,YES,2,$9141,02/2010,2011,No
4758,712,Discover,Credit,2147483647,07/2021,518,YES,1,$14900,09/2010,2010,No
1685,444,Mastercard,Debit,2147483647,01/2023,429,YES,1,$12233,02/2020,2020,No
4023,1193,Mastercard,Debit,2147483647,12/2022,194,YES,1,$38290,07/2014,2014,No
2177,421,Mastercard,Credit,2147483647,09/2023,685,YES,1,$10600,03/2008,2016,No
4881,1125,Amex,Credit,2147483647,12/2021,673,YES,2,$13200,09/2015,2015,No
6027,1394,Visa,Debit,2147483647,09/2021,569,YES,1,$51504,12/2010,2010,No
5043,1699,Amex,Credit,2147483647,10/2013,144,YES,1,$30500,10/2006,2007,No
5655,169,Mastercard,Debit (Prepaid),2147483647,09/2021,335,YES,2,$91,11/2011,2011,No
5253,69,Visa,Credit,2147483647,01/2020,957,YES,1,$10800,10/2011,2013,No
4773,835,Mastercard,Debit,2147483647,05/2022,181,YES,2,$16377,09/2010,2013,No
2926,223,Mastercard,Credit,2147483647,09/2014,32,YES,1,$12600,05/2007,2012,No
1743,853,Mastercard,Credit,2147483647,03/2020,708,YES,2,$22800,02/2020,2020,No
1059,1944,Mastercard,Debit,2147483647,11/2021,832,YES,1,$2468,02/2005,2005,No
4390,519,Mastercard,Debit (Prepaid),2147483647,05/2020,139,YES,2,$65,08/2012,2012,No
4018,1945,Amex,Credit,2147483647,02/2020,175,YES,2,$5900,07/2014,2014,No
2168,704,Amex,Credit,2147483647,12/2022,611,YES,1,$22800,03/2008,2008,No
1857,1446,Visa,Debit (Prepaid),2147483647,06/2022,539,YES,3,$84,02/2020,2020,No
5933,458,Mastercard,Debit,2147483647,10/2022,744,YES,1,$14388,12/2008,2015,No
1187,1648,Mastercard,Debit,2147483647,02/2021,287,NO,2,$64565,02/2009,2019,No
161,703,Mastercard,Credit,2147483647,02/2021,355,YES,2,$8100,01/2008,2009,No
3497,288,Visa,Debit,2147483647,01/2022,846,YES,2,$1112,06/2010,2010,No
1899,1119,Visa,Credit,2147483647,01/2021,225,NO,1,$3000,02/2020,2020,No
1142,1951,Mastercard,Debit,2147483647,12/2023,105,YES,1,$10354,02/2008,2010,No
5454,437,Mastercard,Debit,2147483647,01/2024,52,YES,1,$35500,11/2006,2011,No
704,1708,Mastercard,Credit,2147483647,03/2022,263,YES,2,$9100,01/2020,2020,No
1101,1697,Amex,Credit,2147483647,12/2013,279,YES,1,$2100,02/2007,2009,No
2290,609,Visa,Debit,2147483647,07/2020,851,YES,2,$19436,03/2011,2011,No
5429,64,Mastercard,Credit,2147483647,03/2020,811,YES,2,$12200,11/2005,2020,No
1852,1601,Visa,Credit,2147483647,05/2021,825,NO,1,$17100,02/2020,2020,No
4005,655,Amex,Credit,2147483647,01/2017,852,YES,1,$7700,07/2013,2013,No
3198,497,Visa,Credit,2147483647,03/2019,306,YES,2,$12500,05/2017,2017,No
3753,1638,Discover,Credit,2147483647,10/2020,364,NO,2,$10000,07/2006,2008,No
265,37,Discover,Credit,2147483647,02/2024,943,YES,1,$0,01/2011,2011,No
1317,338,Mastercard,Debit,2147483647,01/2023,841,YES,2,$50127,02/2013,2013,No
5311,1412,Visa,Debit,2147483647,06/2016,682,YES,2,$19081,10/2015,2015,No
138,1094,Visa,Debit,2147483647,06/2023,64,YES,2,$2365,01/2007,2009,No
3005,432,Mastercard,Debit,2147483647,08/2009,540,YES,2,$10049,05/2009,2009,No
5882,1882,Mastercard,Debit,2147483647,03/2022,245,YES,2,$8671,12/2007,2009,No
4218,1940,Mastercard,Debit,2147483647,05/2024,575,YES,2,$8993,08/2007,2010,No
5036,1621,Visa,Credit,2147483647,04/2012,833,YES,1,$17000,10/2005,2016,No
1775,713,Visa,Credit,2147483647,11/2024,528,YES,1,$8400,02/2020,2020,No
2514,69,Visa,Debit,2147483647,04/2020,398,YES,1,$21098,04/2006,2009,No
4591,1813,Visa,Credit,2147483647,03/2021,372,YES,1,$13500,09/2005,2013,No
3271,437,Mastercard,Debit,2147483647,08/2023,938,YES,2,$27687,06/2004,2007,No
2214,232,Mastercard,Debit (Prepaid),2147483647,01/2016,350,YES,1,$98,03/2009,2009,No
5213,1522,Visa,Credit,2147483647,09/2024,875,YES,2,$21900,10/2010,2013,No
4100,1875,Mastercard,Debit,2147483647,04/2021,198,YES,2,$15849,08/2001,2009,No
383,1178,Visa,Debit,2147483647,01/2022,279,YES,2,$16447,01/2019,2019,No
5582,1575,Visa,Debit,2147483647,02/2020,352,YES,2,$35791,11/2009,2009,No
601,1462,Mastercard,Debit (Prepaid),2147483647,08/2020,641,YES,2,$44,01/2020,2020,No
1933,197,Visa,Credit,2147483647,02/2020,943,YES,2,$8000,02/2020,2020,No
5833,1538,Mastercard,Debit,2147483647,04/2011,984,YES,2,$16398,12/2005,2005,No
3726,940,Amex,Credit,2147483647,02/2011,577,YES,2,$11100,07/2005,2012,No
3423,148,Mastercard,Debit,2147483647,03/2017,211,YES,2,$17471,06/2009,2012,No
579,999,Mastercard,Credit,2147483647,02/2020,704,YES,2,$11700,01/2020,2020,No
1200,1654,Amex,Credit,2147483647,06/2024,480,YES,1,$14000,02/2010,2012,No
4838,335,Visa,Debit,2147483647,09/2013,217,YES,2,$25307,09/2012,2012,No
1056,1032,Mastercard,Debit,2147483647,07/2020,325,NO,2,$1955,02/2005,2013,No
2540,1881,Mastercard,Debit (Prepaid),2147483647,10/2009,208,YES,1,$94,04/2007,2009,No
4259,1756,Mastercard,Credit,2147483647,01/2021,303,YES,2,$11600,08/2008,2012,No
3238,1811,Mastercard,Debit,2147483647,10/2024,616,YES,1,$70187,06/2002,2011,No
1402,1770,Amex,Credit,2147483647,06/2022,933,YES,1,$8400,02/2020,2020,No
1820,1160,Visa,Debit,2147483647,06/2020,64,YES,1,$3149,02/2020,2020,No
1363,1710,Discover,Credit,2147483647,11/2020,985,YES,1,$6600,02/2016,2016,No
5258,366,Mastercard,Credit,2147483647,08/2018,823,YES,2,$6200,10/2012,2012,No
2169,976,Discover,Credit,2147483647,06/2022,509,YES,2,$14700,03/2008,2019,No
3783,907,Mastercard,Credit,2147483647,05/2022,989,YES,2,$14700,07/2006,2008,No
5312,140,Mastercard,Debit,2147483647,08/2023,196,YES,1,$13428,10/2016,2016,No
4436,1073,Visa,Debit (Prepaid),2147483647,03/2016,126,YES,1,$84,08/2014,2014,No
3775,1345,Mastercard,Debit,2147483647,03/2020,394,YES,2,$12863,07/2006,2010,No
2222,505,Mastercard,Debit,2147483647,11/2015,843,YES,2,$5258,03/2009,2013,No
727,1354,Mastercard,Debit,2147483647,02/2020,372,YES,2,$3861,01/2020,2020,No
4921,391,Amex,Credit,2147483647,06/2023,945,YES,1,$6200,09/2019,2019,No
4441,360,Visa,Debit,2147483647,10/2018,106,YES,1,$22342,08/2014,2014,No
1365,1586,Mastercard,Debit,2147483647,02/2021,906,YES,2,$17587,02/2016,2016,No
2099,1495,Visa,Credit,2147483647,04/2020,329,NO,2,$14300,03/2005,2012,No
534,1570,Mastercard,Debit (Prepaid),2147483647,03/2024,311,YES,1,$63,01/2020,2020,No
912,1593,Visa,Credit,2147483647,10/2022,943,YES,1,$9900,01/2020,2020,No
2109,13,Mastercard,Credit,2147483647,12/2022,413,YES,1,$10400,03/2006,2015,No
3221,291,Amex,Credit,2147483647,10/2024,412,YES,2,$9900,06/2001,2006,No
5820,698,Visa,Debit,2147483647,06/2021,971,NO,2,$25048,12/2004,2010,No
2484,920,Mastercard,Credit,2147483647,01/2020,278,YES,2,$8100,04/2005,2008,No
4032,1908,Amex,Credit,2147483647,02/2024,763,NO,1,$2900,07/2015,2015,No
130,1031,Mastercard,Debit,2147483647,05/2021,868,YES,2,$25080,01/2007,2012,No
5115,758,Mastercard,Debit,2147483647,05/2024,707,NO,2,$19127,10/2008,2012,No
1269,873,Mastercard,Debit,2147483647,04/2011,892,YES,1,$15521,02/2011,2011,No
1818,1833,Visa,Credit,2147483647,03/2023,147,YES,1,$10100,02/2020,2020,No
966,1353,Mastercard,Debit,2147483647,04/2022,682,YES,1,$12076,02/1999,2012,No
1395,643,Amex,Credit,2147483647,08/2024,145,YES,1,$10000,02/2020,2020,No
1430,215,Amex,Credit,2147483647,02/2020,882,YES,2,$15600,02/2020,2020,No
2456,1669,Discover,Credit,2147483647,12/2013,840,YES,1,$10300,04/2004,2012,No
5536,1154,Mastercard,Debit,2147483647,01/2017,143,NO,1,$2808,11/2008,2013,No
2024,487,Mastercard,Debit,2147483647,08/2024,70,YES,1,$28790,03/2001,2009,No
2872,1107,Visa,Debit (Prepaid),2147483647,04/2020,609,YES,2,$102,05/2004,2011,No
158,813,Mastercard,Debit,2147483647,10/2021,649,YES,2,$13417,01/2008,2008,No
557,254,Mastercard,Credit,2147483647,04/2024,230,YES,2,$15900,01/2020,2020,No
3107,832,Visa,Debit,2147483647,07/2024,380,NO,1,$20776,05/2011,2011,No
1720,574,Mastercard,Credit,2147483647,09/2021,437,YES,2,$12500,02/2020,2020,No
5623,1738,Visa,Credit,2147483647,04/2020,635,NO,1,$15700,11/2010,2014,No
5843,1455,Visa,Credit,2147483647,08/2022,25,YES,1,$8000,12/2005,2011,No
3858,1076,Mastercard,Debit,2147483647,12/2017,391,YES,1,$14514,07/2008,2008,No
4999,1725,Visa,Debit,2147483647,09/2022,247,YES,2,$28166,10/2003,2015,No
661,500,Mastercard,Debit,2147483647,01/2021,632,YES,2,$14679,01/2020,2020,No
4950,1361,Mastercard,Debit,2147483647,10/2020,459,YES,2,$14767,10/2001,2012,No
2607,1771,Mastercard,Debit (Prepaid),2147483647,04/2024,50,YES,2,$59,04/2009,2009,No
2264,1936,Visa,Credit,2147483647,08/2020,174,YES,2,$14500,03/2010,2010,No
1040,1814,Visa,Credit,2147483647,07/2022,905,YES,1,$11800,02/2004,2013,No
1633,1871,Mastercard,Debit,2147483647,02/2020,260,YES,1,$11166,02/2020,2020,No
109,87,Visa,Credit,2147483647,05/2022,450,YES,1,$6300,01/2006,2011,No
649,1829,Mastercard,Credit,2147483647,02/2020,823,YES,1,$10700,01/2020,2020,No
5118,1444,Mastercard,Debit,2147483647,06/2023,949,NO,1,$45141,10/2008,2010,No
173,1310,Visa,Credit,2147483647,02/2010,221,YES,2,$5500,01/2008,2008,No
6138,1115,Visa,Debit,2147483647,04/2023,251,YES,1,$12606,12/2018,2018,No
2441,1576,Mastercard,Debit,2147483647,01/2018,985,YES,2,$15839,04/2003,2010,No
1472,1738,Mastercard,Credit,2147483647,04/2024,497,YES,2,$18700,02/2020,2020,No
3098,1771,Mastercard,Debit,2147483647,03/2022,153,YES,1,$27534,05/2011,2011,No
2644,954,Mastercard,Debit,2147483647,08/2024,471,YES,2,$18320,04/2010,2010,No
4887,189,Visa,Debit (Prepaid),2147483647,04/2020,522,YES,1,$81,09/2015,2015,No
4192,450,Visa,Debit,2147483647,11/2021,314,YES,1,$18048,08/2006,2007,No
276,947,Mastercard,Debit (Prepaid),2147483647,07/2020,389,YES,2,$79,01/2011,2011,No
2304,859,Mastercard,Debit,2147483647,07/2021,724,YES,2,$20354,03/2012,2012,No
1608,1822,Mastercard,Debit,2147483647,06/2024,550,YES,2,$11624,02/2020,2020,No
1417,1020,Amex,Credit,2147483647,02/2020,772,YES,1,$16900,02/2020,2020,No
5248,1576,Visa,Debit,2147483647,03/2023,978,YES,1,$15807,10/2011,2011,No
5738,717,Mastercard,Credit,2147483647,09/2023,74,YES,2,$7100,11/2018,2018,No
4268,323,Mastercard,Debit,2147483647,10/2024,413,YES,2,$5082,08/2008,2009,No
3071,742,Mastercard,Credit,2147483647,10/2010,868,YES,2,$12700,05/2010,2010,No
6070,554,Mastercard,Debit,2147483647,07/2019,960,YES,2,$32676,12/2012,2012,No
1629,1119,Mastercard,Debit,2147483647,01/2024,712,YES,2,$7458,02/2020,2020,No
6125,979,Mastercard,Credit,2147483647,02/2020,628,YES,2,$5700,12/2016,2016,No
5206,1642,Mastercard,Credit,2147483647,03/2020,365,YES,1,$11200,10/2010,2010,No
549,448,Mastercard,Credit,2147483647,02/2021,247,YES,2,$7200,01/2020,2020,No
3095,1281,Mastercard,Credit,2147483647,01/2017,838,YES,1,$10100,05/2011,2016,No
4379,760,Visa,Debit (Prepaid),2147483647,01/2023,822,NO,1,$59,08/2011,2011,No
2704,985,Visa,Credit,2147483647,02/2019,466,YES,1,$300,04/2012,2012,No
4499,766,Visa,Debit,2147483647,08/2020,907,YES,2,$14248,09/1999,2010,No
2855,845,Mastercard,Debit,2147483647,10/2014,390,YES,2,$20362,05/2004,2012,No
5621,708,Visa,Debit,2147483647,06/2022,53,YES,1,$132439,11/2010,2011,No
4318,668,Mastercard,Credit,2147483647,08/2021,397,YES,1,$0,08/2010,2010,No
3361,721,Visa,Debit,2147483647,06/2021,202,YES,1,$8400,06/2007,2008,No
4481,467,Mastercard,Debit,2147483647,01/2021,925,YES,2,$31741,08/2019,2019,No
1460,309,Mastercard,Debit,2147483647,02/2020,630,YES,3,$9944,02/2020,2020,No
5753,1445,Discover,Credit,2147483647,04/2022,163,YES,2,$10200,12/1997,2011,No
5129,1391,Visa,Debit,2147483647,10/2024,271,YES,2,$29573,10/2008,2009,No
4040,584,Visa,Credit,2147483647,04/2021,771,YES,1,$6500,07/2015,2015,No
5000,100,Visa,Debit,2147483647,01/2020,674,YES,2,$41084,10/2003,2012,No
5087,905,Mastercard,Debit,2147483647,02/2010,963,YES,1,$19600,10/2007,2015,No
1123,514,Visa,Credit,2147483647,04/2023,240,YES,2,$8500,02/2007,2007,No
2824,42,Discover,Credit,2147483647,06/2021,943,YES,1,$6300,05/2002,2011,No
49,16,Mastercard,Debit,2147483647,08/2015,59,YES,2,$1575,01/2004,2005,No
5391,4,Visa,Debit,2147483647,04/2022,787,YES,1,$38648,11/2003,2005,No
3943,742,Mastercard,Debit,2147483647,04/2020,727,NO,2,$22839,07/2010,2015,No
295,1769,Mastercard,Debit (Prepaid),2147483647,11/2021,853,NO,1,$78,01/2012,2012,No
2163,1940,Visa,Credit,2147483647,02/2020,245,YES,2,$5700,03/2007,2010,No
2743,1406,Mastercard,Debit,2147483647,04/2020,348,YES,1,$9431,04/2015,2015,No
153,1728,Mastercard,Debit,2147483647,03/2023,431,YES,2,$1930,01/2008,2015,No
1834,786,Visa,Debit,2147483647,07/2022,846,YES,2,$21032,02/2020,2020,No
3115,1116,Mastercard,Debit,2147483647,01/2019,922,YES,1,$29333,05/2012,2012,No
4061,1523,Visa,Debit,2147483647,01/2020,656,YES,1,$13438,07/2017,2017,No
5949,1856,Visa,Debit,2147483647,02/2020,50,YES,1,$1873,12/2008,2010,No
5861,234,Mastercard,Credit,2147483647,12/2009,88,YES,2,$6400,12/2006,2009,No
551,1778,Mastercard,Debit,2147483647,08/2022,259,YES,1,$13857,01/2020,2020,No
4282,105,Visa,Credit,2147483647,09/2022,939,YES,1,$10200,08/2008,2012,No
5790,1317,Mastercard,Debit,2147483647,09/2022,389,YES,1,$9059,12/2003,2008,No
6091,93,Visa,Credit,2147483647,02/2021,441,YES,1,$1800,12/2013,2013,No
2171,1492,Mastercard,Debit (Prepaid),2147483647,11/2022,320,YES,1,$18,03/2008,2010,No
2727,1477,Mastercard,Debit,2147483647,02/2020,717,YES,2,$18171,04/2014,2014,No
681,70,Mastercard,Debit,2147483647,08/2021,24,NO,2,$30637,01/2020,2020,No
4084,159,Mastercard,Debit,2147483647,10/2024,487,YES,1,$14178,08/1995,2010,No
3390,1636,Mastercard,Credit,2147483647,05/2024,843,YES,1,$5600,06/2008,2011,No
132,249,Mastercard,Credit,2147483647,07/2024,475,YES,2,$9300,01/2007,2010,No
4486,1763,Visa,Debit,2147483647,05/2020,450,YES,1,$12220,09/1993,2011,No
3914,467,Visa,Credit,2147483647,03/2024,207,YES,2,$11200,07/2009,2011,No
1404,1760,Amex,Credit,2147483647,05/2022,536,YES,1,$14600,02/2020,2020,No
