"id","current_age","retirement_age","birth_year","birth_month","gender","address","latitude","longitude","per_capita_income","yearly_income","total_debt","credit_score","num_credit_cards","created_at"
196,44,64,1975,5,Female,"518 Norfolk Avenue",33.29,-83.96,17545,35775,67263,773,1,2010-01-10 00:00:00.000
1947,87,66,1932,4,Male,"770 Maple Street",31.62,-82.88,14060,27971,1265,765,4,2010-01-10 00:00:00.000
1866,22,67,1998,2,Male,"213 Rose Drive",32.85,-96.96,30475,62135,75209,676,2,2010-01-10 00:00:00.000
1960,30,61,1989,12,Male,"334 Rose Boulevard",38.96,-76.85,23500,47916,69567,612,1,2010-01-10 00:00:00.000
765,18,68,2002,2,Male,"188 Ninth Boulevard",37.78,-90.42,17707,36101,46425,778,2,2010-01-10 00:00:00.000
1696,63,65,1956,12,Female,"4461 Hill Street",28.32,-80.68,26339,53702,85160,606,1,2010-01-10 00:00:00.000
1833,27,71,1993,1,Male,"5514 Norfolk Boulevard",35.58,-88.5,17179,35026,11468,743,5,2010-01-10 00:00:00.000
670,21,71,1998,3,Female,"7469 El Camino Street",42.31,-83.21,11773,24006,57226,801,2,2010-01-10 00:00:00.000
1585,35,69,1984,11,Female,"4346 El Camino Boulevard",30.33,-81.65,20710,42229,0,688,3,2010-01-10 00:00:00.000
1103,45,70,1974,5,Female,"31 Jefferson Boulevard",47.09,-116.46,12618,25723,34007,746,3,2010-01-10 00:00:00.000
186,61,69,1958,11,Female,"49 Bayview Lane",36.1,-115.02,18897,38536,72299,705,1,2010-01-10 00:00:00.000
787,19,67,2000,3,Female,"762 Lake Drive",29.61,-95.61,35183,71740,38238,767,2,2010-01-10 00:00:00.000
991,52,60,1967,8,Male,"3740 Ocean Lane",41.37,-82.1,18110,36927,54145,554,1,2010-01-10 00:00:00.000
852,35,68,1985,1,Female,"955 11th Street",29.82,-82.59,19693,40156,70128,738,3,2010-01-10 00:00:00.000
633,36,69,1983,10,Female,"5506 Fifth Boulevard",33.88,-118.27,24611,50179,110515,743,1,2010-01-10 00:00:00.000
730,51,69,1968,8,Male,"932 Bayview Avenue",38.9,-94.68,41663,84944,57746,713,3,2010-01-10 00:00:00.000
29,68,60,1951,8,Female,"318 Spruce Boulevard",42.47,-70.96,18682,27358,13557,665,2,2010-01-10 00:00:00.000
1577,53,66,1966,12,Male,"153 Wessex Drive",27.33,-82.54,19983,40745,18371,718,4,2010-01-10 00:00:00.000
9,29,60,1990,12,Male,"22 Mill Drive",32.63,-117.05,20102,40988,89801,540,3,2010-01-10 00:00:00.000
101,18,62,2002,1,Female,"91 Essex Lane",32.88,-105.95,15095,30778,73680,681,1,2010-01-10 00:00:00.000
404,44,61,1975,9,Male,"33 Seventh Boulevard",29.77,-82.48,21979,44816,63043,625,1,2010-01-10 00:00:00.000
1352,65,64,1954,3,Female,"8437 Sixth Street",44.75,-85.6,20035,42102,9645,672,3,2010-01-10 00:00:00.000
802,35,67,1984,3,Female,"3369 Wessex Avenue",38.74,-121.25,29367,59872,95927,752,4,2010-01-10 00:00:00.000
1358,69,70,1950,4,Female,"128 Main Street",43.1,-89.5,33808,68930,72619,768,4,2010-01-10 00:00:00.000
31,51,65,1968,6,Female,"413 East Boulevard",41.62,-87.72,22348,45570,0,712,3,2010-01-10 00:00:00.000
692,52,65,1967,8,Female,"23 Sussex Lane",42.92,-82.88,20942,42701,53696,701,4,2010-01-10 00:00:00.000
1235,18,65,2002,2,Male,"283 Rose Lane",33.6,-117.66,30564,62316,146487,813,1,2010-01-10 00:00:00.000
785,18,67,2001,11,Male,"13 Main Boulevard",38.16,-121.93,23990,48909,71310,740,2,2010-01-10 00:00:00.000
1084,36,66,1984,1,Male,"152 West Drive",47.26,-122.45,31518,64262,75415,775,4,2010-01-10 00:00:00.000
740,30,62,1989,8,Female,"9104 Second Avenue",29.76,-95.38,15862,32343,39656,683,3,2010-01-10 00:00:00.000
1914,21,70,1998,4,Female,"5259 Lake Drive",36.78,-76.08,20678,42161,59210,672,1,2010-01-10 00:00:00.000
817,26,67,1993,5,Male,"91 Lake Street",30.06,-89.93,32314,65888,162364,803,2,2010-01-10 00:00:00.000
1126,18,64,2002,1,Male,"3578 Pine Lane",35.4,-80.59,20570,41940,82593,710,1,2010-01-10 00:00:00.000
1951,48,66,1971,5,Female,"328 Birch Street",39.13,-76.69,31075,63355,0,708,5,2010-01-10 00:00:00.000
603,42,67,1978,2,Female,"66 Norfolk Avenue",35.48,-97.26,21884,44624,102882,611,1,2010-01-10 00:00:00.000
348,49,70,1970,7,Female,"480 Seventh Lane",40.22,-74.76,22747,46377,79980,719,3,2010-01-10 00:00:00.000
1247,69,71,1950,9,Female,"6466 Ninth Drive",35.54,-118.91,21654,44152,90526,700,5,2010-01-10 00:00:00.000
1862,25,65,1994,4,Female,"7111 Lexington Avenue",41.57,-93.61,18568,37864,57052,686,1,2010-01-10 00:00:00.000
1807,47,65,1972,12,Female,"14780 Plum Lane",40.84,-73.87,25537,52065,98613,828,5,2010-01-10 00:00:00.000
1527,66,67,1953,11,Female,"1426 Fifth Avenue",43.32,-71.18,24779,50523,98763,578,1,2010-01-10 00:00:00.000
345,33,67,1986,7,Male,"67424 Tenth Boulevard",42.24,-85.48,17409,35499,80517,724,1,2010-01-10 00:00:00.000
119,44,67,1975,9,Female,"60 Little Creek Avenue",36.16,-115.28,27761,56605,87970,624,3,2010-01-10 00:00:00.000
1850,18,61,2001,9,Female,"293 South Street",31.94,-94.85,16183,32998,45196,736,1,2010-01-10 00:00:00.000
492,41,70,1978,9,Male,"2397 Madison Avenue",34.95,-82.12,18857,38450,51430,850,1,2010-01-10 00:00:00.000
437,46,66,1973,6,Female,"9528 Hill Street",39.04,-76.49,35645,72670,28915,718,3,2010-01-10 00:00:00.000
244,40,62,1979,7,Female,"8100 Hill Avenue",30.58,-84.58,13144,26802,43444,638,2,2010-01-10 00:00:00.000
781,30,74,1989,9,Male,"7154 Lafayette Drive",32.33,-106.75,16670,33993,45149,602,4,2010-01-10 00:00:00.000
715,37,75,1983,1,Female,"94 Ocean Avenue",41.76,-88.15,49195,100303,53919,821,2,2010-01-10 00:00:00.000
741,75,66,1944,9,Male,"239 Third Drive",42.35,-71.06,21695,41316,22629,826,1,2010-01-10 00:00:00.000
37,41,60,1978,7,Female,"533 Sussex Drive",43.31,-76.57,17013,34690,48954,683,4,2010-01-10 00:00:00.000
1405,45,71,1974,4,Male,"70 Tenth Boulevard",47.91,-97.07,23910,48755,37315,777,8,2010-01-10 00:00:00.000
50,68,72,1951,7,Female,"267 Birch Boulevard",45.82,-88.06,19243,39238,85457,702,4,2010-01-10 00:00:00.000
1481,72,65,1947,6,Male,"527 Federal Avenue",37.78,-121.99,0,2422,810,632,2,2010-01-10 00:00:00.000
1108,19,67,2000,3,Male,"32 First Lane",40.83,-74.24,40216,81995,133788,685,2,2010-01-10 00:00:00.000
773,67,65,1952,9,Male,"486 West Boulevard",34.49,-85.84,15562,11029,3225,786,3,2010-01-10 00:00:00.000
1512,44,65,1975,6,Male,"6995 North Drive",39.77,-86.14,32865,67008,81402,778,8,2010-01-10 00:00:00.000
1373,35,66,1984,12,Female,"834 Tenth Lane",41.07,-85.13,16764,34181,50668,764,2,2010-01-10 00:00:00.000
494,39,68,1980,5,Male,"700 Rose Avenue",39.09,-76.85,27635,56347,32530,779,3,2010-01-10 00:00:00.000
613,39,69,1980,9,Female,"7549 Fourth Lane",41.87,-88.01,27741,56562,111495,712,4,2010-01-10 00:00:00.000
1544,36,65,1983,9,Female,"7643 Martin Luther King Street",40.1,-84.62,16351,33339,83353,679,2,2010-01-10 00:00:00.000
581,48,67,1971,3,Male,"1813 Second Lane",29.99,-90.24,14696,29962,55000,684,3,2010-01-10 00:00:00.000
1861,57,65,1962,5,Female,"992 Forest Street",33.1,-96.66,32580,66427,103290,779,5,2010-01-10 00:00:00.000
1417,54,68,1965,3,Female,"336 Catherine Lane",42.63,-83.61,25838,52680,87082,835,5,2010-01-10 00:00:00.000
1311,27,71,1992,11,Male,"79 Sixth Avenue",47.54,-122.58,21219,43264,89798,729,1,2010-01-10 00:00:00.000
213,37,68,1982,5,Female,"345 George Street",32.91,-96.62,27057,55172,96779,629,3,2010-01-10 00:00:00.000
519,57,67,1962,6,Female,"839 East Avenue",36.14,-115.03,19377,39508,18870,770,4,2010-01-10 00:00:00.000
1665,19,62,2001,1,Male,"3804 Ninth Street",33.94,-84.2,31677,64585,121851,665,1,2010-01-10 00:00:00.000
696,74,67,1945,7,Female,"5064 North Lane",40.63,-73.72,45685,110570,5700,766,8,2010-01-10 00:00:00.000
1210,32,65,1987,11,Male,"6415 Sussex Lane",41.0,-76.85,16935,34531,60156,703,4,2010-01-10 00:00:00.000
1353,50,65,1970,2,Female,"655 Federal Avenue",40.46,-111.63,21232,43294,104521,816,7,2010-01-10 00:00:00.000
1702,53,68,1967,2,Female,"75011 Lafayette Drive",33.99,-117.53,19851,40470,87086,691,5,2010-01-10 00:00:00.000
1568,47,67,1972,5,Female,"3816 Spruce Drive",40.67,-73.39,21077,42976,58765,748,3,2010-01-10 00:00:00.000
1040,28,67,1991,10,Female,"207 Washington Lane",39.86,-74.82,39269,80060,0,689,2,2010-01-10 00:00:00.000
258,51,68,1968,3,Male,"572 Mountain View Lane",37.27,-79.95,14528,29622,17385,694,3,2010-01-10 00:00:00.000
1403,74,61,1945,11,Male,"316 Grant Drive",37.94,-77.65,25937,24545,22488,753,2,2010-01-10 00:00:00.000
853,29,67,1990,8,Female,"225 Lake Boulevard",42.46,-83.37,36817,75070,161525,723,1,2010-01-10 00:00:00.000
955,33,67,1987,2,Male,"6785 Valley Stream Boulevard",40.28,-80.6,16648,33944,53353,798,4,2010-01-10 00:00:00.000
1223,53,67,1966,6,Male,"822 Ocean Street",41.8,-87.92,92938,189490,448929,717,3,2010-01-10 00:00:00.000
487,52,68,1967,7,Male,"9028 Valley Stream Avenue",42.66,-73.79,27005,55059,162462,735,3,2010-01-10 00:00:00.000
1041,48,62,1971,9,Female,"6144 Summit Street",34.87,-85.5,15950,32522,50155,639,1,2010-01-10 00:00:00.000
897,30,64,1989,8,Female,"847 Martin Luther King Lane",31.07,-83.19,13238,26996,33332,501,2,2010-01-10 00:00:00.000
481,18,67,2002,2,Male,"628 Norfolk Avenue",42.41,-71.16,40694,82972,173295,653,1,2010-01-10 00:00:00.000
497,63,65,1956,11,Male,"8414 Tenth Drive",43.54,-96.73,25692,52380,8764,850,6,2010-01-10 00:00:00.000
355,22,62,1997,11,Female,"415 Madison Boulevard",35.87,-96.05,19856,40491,81879,691,2,2010-01-10 00:00:00.000
1974,74,57,1945,4,Female,"826 12th Drive",39.99,-111.81,18058,31792,28723,647,3,2010-01-10 00:00:00.000
302,27,67,1992,8,Female,"9354 Lafayette Street",38.41,-78.61,18335,37384,120327,706,2,2010-01-10 00:00:00.000
1319,19,68,2000,3,Female,"671 George Drive",38.2,-84.55,23827,48582,189348,546,1,2010-01-10 00:00:00.000
842,61,65,1959,2,Male,"945 Third Avenue",47.58,-122.03,50607,103185,206422,564,1,2010-01-10 00:00:00.000
1892,22,62,1997,7,Male,"449 Washington Street",35.01,-97.33,15966,32557,60053,637,2,2010-01-10 00:00:00.000
1814,41,68,1979,1,Female,"136 South Street",41.83,-87.68,16114,32856,26535,703,3,2010-01-10 00:00:00.000
1141,66,57,1953,10,Male,"35 Essex Drive",36.48,-80.61,15838,27266,19798,777,5,2010-01-10 00:00:00.000
1029,66,72,1953,3,Male,"9218 Martin Luther King Avenue",27.9,-81.97,17944,36589,86573,676,3,2010-01-10 00:00:00.000
585,52,62,1967,9,Male,"5581 Federal Street",30.11,-97.3,20346,41483,64715,584,1,2010-01-10 00:00:00.000
513,24,69,1995,10,Male,"841 Spruce Drive",30.5,-90.46,17584,35856,73257,712,4,2010-01-10 00:00:00.000
1426,22,66,1997,4,Female,"37 Norfolk Boulevard",40.33,-74.03,56252,114692,91575,805,2,2010-01-10 00:00:00.000
1977,43,69,1976,8,Female,"825 Sussex Avenue",41.5,-87.5,28048,57185,0,773,3,2010-01-10 00:00:00.000
1339,25,70,1994,8,Male,"9181 Elm Avenue",38.01,-121.38,31600,64429,136163,773,2,2010-01-10 00:00:00.000
389,27,67,1992,7,Male,"9517 Ninth Street",44.53,-73.15,26033,53082,106945,689,3,2010-01-10 00:00:00.000
1400,29,71,1990,5,Male,"4673 Washington Avenue",32.41,-87.03,12474,25434,0,698,2,2010-01-10 00:00:00.000
1515,77,67,1942,12,Female,"7239 Hill Lane",40.34,-76.42,20983,30457,19314,520,5,2010-01-10 00:00:00.000
806,24,67,1995,4,Female,"8251 Park Lane",40.11,-83.13,38243,77972,6128,686,3,2010-01-10 00:00:00.000
1320,28,64,1991,10,Female,"5225 Bayview Street",34.02,-118.28,13002,26513,32620,604,1,2010-01-10 00:00:00.000
41,38,70,1981,3,Male,"2750 Rose Boulevard",43.08,-91.56,13332,27183,58323,637,1,2010-01-10 00:00:00.000
1634,66,68,1953,3,Male,"703 West Drive",26.18,-98.11,10091,20577,60152,825,4,2010-01-10 00:00:00.000
394,52,71,1967,4,Male,"514 Pine Boulevard",41.09,-73.55,34138,69604,47193,684,4,2010-01-10 00:00:00.000
594,29,70,1990,12,Male,"7109 Rose Street",35.88,-80.07,16642,33933,5329,698,6,2010-01-10 00:00:00.000
1229,50,66,1970,2,Male,"421 Essex Street",35.18,-79.46,24206,49350,20942,713,6,2010-01-10 00:00:00.000
336,23,65,1996,12,Male,"2545 Federal Drive",40.71,-74.06,21642,44128,0,760,1,2010-01-10 00:00:00.000
359,66,61,1953,7,Male,"338 Littlewood Street",33.94,-83.99,24252,57383,20725,799,4,2010-01-10 00:00:00.000
837,30,65,1989,4,Male,"445 Fifth Avenue",39.15,-80.35,17701,36092,63276,679,1,2010-01-10 00:00:00.000
136,18,66,2001,4,Female,"724 Essex Drive",38.22,-85.74,31636,64504,69041,695,3,2010-01-10 00:00:00.000
1561,78,67,1941,5,Female,"245 Martin Luther King Drive",35.0,-80.94,26707,51014,23366,759,4,2010-01-10 00:00:00.000
407,23,66,1996,8,Female,"9392 Fifth Avenue",41.83,-87.68,20822,42454,63754,750,4,2010-01-10 00:00:00.000
932,67,69,1953,2,Male,"295 West Avenue",32.36,-92.97,16760,34172,71366,811,6,2010-01-10 00:00:00.000
508,24,69,1995,7,Male,"3221 Tenth Lane",39.75,-75.09,31547,64319,0,757,3,2010-01-10 00:00:00.000
934,32,63,1987,12,Female,"2017 Ninth Drive",42.38,-76.39,20159,41106,106963,762,3,2010-01-10 00:00:00.000
1469,21,68,1998,12,Male,"74 Hill Avenue",39.12,-97.7,16990,34646,54205,759,1,2010-01-10 00:00:00.000
1685,53,61,1966,7,Male,"5886 Ninth Boulevard",33.61,-111.89,36300,74012,93119,681,2,2010-01-10 00:00:00.000
1757,39,68,1980,11,Male,"2773 El Camino Lane",40.19,-85.39,20644,42086,79530,784,4,2010-01-10 00:00:00.000
1496,20,65,1999,9,Male,"9895 El Camino Boulevard",41.75,-70.61,23909,48747,171249,713,3,2010-01-10 00:00:00.000
1722,24,65,1995,9,Female,"162 Rose Drive",37.96,-121.26,12089,24648,32962,600,1,2010-01-10 00:00:00.000
1199,29,68,1990,6,Male,"704 Eighth Avenue",42.93,-75.38,19161,39069,63884,720,2,2010-01-10 00:00:00.000
1804,18,65,2001,9,Male,"1335 Norfolk Drive",41.56,-70.55,21335,43499,108468,701,4,2010-01-10 00:00:00.000
1112,34,66,1985,11,Female,"5411 Madison Avenue",31.09,-97.71,14665,29897,27736,760,6,2010-01-10 00:00:00.000
1953,29,68,1991,1,Female,"21 Lafayette Drive",43.59,-88.28,21579,43996,16260,842,3,2010-01-10 00:00:00.000
218,59,68,1960,3,Female,"5238 Park Street",40.76,-74.03,16770,34190,39242,810,7,2010-01-10 00:00:00.000
749,22,68,1997,10,Male,"4098 Park Drive",32.75,-97.33,12051,24574,80667,674,3,2010-01-10 00:00:00.000
1645,62,65,1957,11,Female,"58 Federal Lane",41.47,-81.85,29692,60541,160456,716,3,2010-01-10 00:00:00.000
367,27,67,1992,8,Female,"8893 Valley Drive",41.52,-87.42,21992,44843,67179,756,2,2010-01-10 00:00:00.000
1542,46,69,1973,12,Female,"515 South Street",41.47,-81.67,27250,55565,34039,731,2,2010-01-10 00:00:00.000
83,31,69,1988,5,Male,"766 Catherine Boulevard",38.29,-77.48,29157,59455,96224,557,1,2010-01-10 00:00:00.000
1204,42,67,1977,6,Male,"583 El Camino Boulevard",42.09,-70.7,34059,69440,129944,743,3,2010-01-10 00:00:00.000
1455,36,67,1983,12,Male,"83 Sixth Drive",32.72,-117.09,16838,34330,15223,713,4,2010-01-10 00:00:00.000
1964,68,64,1951,12,Male,"973 Federal Drive",35.64,-78.45,22644,38637,30595,643,4,2010-01-10 00:00:00.000
1017,24,69,1995,7,Male,"7043 Ocean Avenue",34.14,-119.1,14076,28703,94364,560,1,2010-01-10 00:00:00.000
1912,37,60,1982,7,Female,"3510 Mountain View Street",44.96,-93.26,22059,44976,134335,684,1,2010-01-10 00:00:00.000
1057,39,71,1980,7,Female,"135 Littlewood Avenue",33.2,-117.29,22050,44958,91549,787,1,2010-01-10 00:00:00.000
1693,36,69,1983,4,Female,"478 East Drive",33.61,-111.89,36300,74016,85204,702,2,2010-01-10 00:00:00.000
1981,48,65,1972,1,Male,"8975 Littlewood Boulevard",26.63,-81.99,19274,39303,23650,702,7,2010-01-10 00:00:00.000
736,27,66,1992,9,Female,"8440 Park Drive",39.99,-105.09,30072,61317,0,741,3,2010-01-10 00:00:00.000
1341,87,72,1932,8,Male,"4713 First Boulevard",41.15,-85.48,19914,30349,2985,686,4,2010-01-10 00:00:00.000
465,47,72,1972,5,Male,"38318 West Drive",34.42,-84.11,20581,41965,55700,724,2,2010-01-10 00:00:00.000
430,52,67,1967,5,Female,"903 Hill Boulevard",41.42,-87.35,26168,53350,128676,685,5,2010-01-10 00:00:00.000
228,54,66,1966,1,Female,"2206 South Drive",28.55,-82.39,15524,31655,46405,623,1,2010-01-10 00:00:00.000
514,58,72,1961,8,Male,"967 Norfolk Avenue",28.08,-80.6,15840,32295,72357,698,4,2010-01-10 00:00:00.000
1013,25,69,1995,1,Female,"834 Elm Avenue",38.99,-105.05,23550,48017,95549,711,1,2010-01-10 00:00:00.000
1498,47,66,1972,7,Female,"69590 Rose Drive",39.68,-74.98,24911,50790,3547,726,4,2010-01-10 00:00:00.000
129,56,63,1963,6,Female,"6295 Summit Drive",34.1,-118.05,22008,44875,125909,510,1,2010-01-10 00:00:00.000
103,41,71,1978,3,Female,"8 Tenth Drive",35.82,-78.65,17056,34774,78060,850,5,2010-01-10 00:00:00.000
1893,26,59,1993,12,Male,"6222 Sixth Lane",43.1,-71.73,26084,53182,99550,623,1,2010-01-10 00:00:00.000
1072,48,62,1972,1,Female,"940 First Drive",38.71,-92.08,19627,40017,75377,648,1,2010-01-10 00:00:00.000
335,46,68,1973,7,Female,"75 Birch Lane",26.74,-80.12,27696,56467,66565,688,3,2010-01-10 00:00:00.000
392,50,65,1969,11,Female,"687 Fifth Boulevard",27.64,-80.39,16234,33098,59605,775,3,2010-01-10 00:00:00.000
1986,44,69,1975,12,Female,"5887 Seventh Lane",37.68,-122.43,23752,48430,62384,716,2,2010-01-10 00:00:00.000
1109,24,65,1995,11,Male,"8245 El Camino Lane",37.68,-97.34,21518,43875,128146,639,1,2010-01-10 00:00:00.000
755,74,67,1945,11,Female,"951 11th Avenue",33.82,-78.67,13409,23137,4871,642,5,2010-01-10 00:00:00.000
1354,34,59,1985,4,Male,"7401 Seventh Street",35.46,-86.08,16349,33336,48213,692,3,2010-01-10 00:00:00.000
1548,41,65,1978,10,Male,"439 George Avenue",40.5,-111.7,35834,73067,6332,721,3,2010-01-10 00:00:00.000
383,48,66,1971,9,Male,"6606 Oak Drive",30.81,-92.65,16816,34287,77180,760,3,2010-01-10 00:00:00.000
1647,18,65,2002,2,Female,"1358 Plum Avenue",41.31,-79.38,17321,35311,44783,684,5,2010-01-10 00:00:00.000
283,19,69,2000,11,Male,"74 Birch Avenue",40.75,-103.06,15064,30710,30956,680,2,2010-01-10 00:00:00.000
1530,64,68,1956,2,Female,"25 Elm Street",32.93,-97.22,0,1785,2892,732,3,2010-01-10 00:00:00.000
308,44,65,1976,1,Male,"3675 Bayview Drive",35.37,-85.38,15209,31015,103094,737,2,2010-01-10 00:00:00.000
62,78,68,1941,11,Female,"9911 Rose Street",41.13,-124.04,15296,22290,9235,716,6,2010-01-10 00:00:00.000
451,65,67,1954,12,Male,"654 Birch Lane",41.26,-96.01,14199,28951,56777,711,2,2010-01-10 00:00:00.000
1680,59,63,1960,11,Female,"4701 Littlewood Drive",27.95,-82.48,28916,58959,109358,598,2,2010-01-10 00:00:00.000
426,26,65,1993,4,Female,"8709 Fifth Street",42.9,-85.82,20773,42348,6204,754,4,2010-01-10 00:00:00.000
1738,30,68,1989,3,Male,"5142 Little Creek Street",35.67,-97.41,33736,68784,198417,696,4,2010-01-10 00:00:00.000
1310,33,69,1986,9,Female,"4930 Birch Drive",33.92,-78.02,17498,35670,58182,751,2,2010-01-10 00:00:00.000
1517,37,71,1982,3,Male,"7954 Wessex Boulevard",38.9,-77.26,60593,123540,236393,764,4,2010-01-10 00:00:00.000
159,53,69,1966,7,Male,"274 Summit Street",32.79,-96.76,13799,28134,20231,707,3,2010-01-10 00:00:00.000
422,19,62,2000,11,Female,"5378 Lafayette Avenue",39.98,-82.98,15539,31683,46987,817,4,2010-01-10 00:00:00.000
1684,56,65,1963,11,Male,"27019 Madison Lane",36.34,-83.28,13668,27861,108313,782,5,2010-01-10 00:00:00.000
1061,25,67,1994,12,Male,"8931 Norfolk Drive",33.44,-111.8,19844,40457,68826,739,1,2010-01-10 00:00:00.000
319,67,67,1952,12,Male,"388 Third Avenue",36.75,-119.67,17683,28357,10400,628,2,2010-01-10 00:00:00.000
819,55,77,1964,10,Female,"4909 Maple Avenue",40.43,-79.97,18392,37495,28449,687,3,2010-01-10 00:00:00.000
756,66,65,1953,10,Female,"8651 North Boulevard",39.64,-84.08,28466,59251,29300,679,1,2010-01-10 00:00:00.000
1396,22,61,1997,5,Male,"666 Lafayette Lane",39.21,-76.72,22728,46344,66994,732,3,2010-01-10 00:00:00.000
881,61,70,1958,3,Female,"4155 Spruce Avenue",39.85,-75.18,28663,58433,48231,696,4,2010-01-10 00:00:00.000
628,57,66,1963,1,Male,"4 George Lane",40.0,-75.26,52517,107075,75999,815,3,2010-01-10 00:00:00.000
1945,56,70,1964,2,Female,"7728 Oak Drive",34.72,-92.35,14736,30042,9208,727,4,2010-01-10 00:00:00.000
1273,21,71,1998,4,Male,"966 Sussex Boulevard",41.88,-87.97,24223,49382,43126,762,1,2010-01-10 00:00:00.000
1829,25,68,1995,2,Male,"4920 Valley Stream Drive",33.34,-84.1,21682,44204,59310,710,3,2010-01-10 00:00:00.000
448,41,63,1978,8,Male,"992 Martin Luther King Avenue",41.48,-87.68,19359,39472,82626,698,1,2010-01-10 00:00:00.000
1869,28,71,1991,9,Male,"96707 East Boulevard",34.78,-86.95,16912,34487,52077,702,1,2010-01-10 00:00:00.000
988,68,68,1951,4,Male,"344 Washington Drive",29.91,-90.05,20042,39832,5377,785,4,2010-01-10 00:00:00.000
84,47,68,1972,9,Male,"23068 Park Street",36.49,-81.5,12630,25748,41455,738,3,2010-01-10 00:00:00.000
878,45,65,1974,3,Male,"13 Lake Drive",40.03,-76.49,19663,40093,81752,615,2,2010-01-10 00:00:00.000
894,41,68,1978,5,Female,"1071 Lafayette Street",43.3,-71.33,19781,40334,65793,597,3,2010-01-10 00:00:00.000
869,73,68,1946,9,Male,"9355 Ocean View Drive",33.85,-84.22,22682,34220,0,745,5,2010-01-10 00:00:00.000
854,26,65,1994,2,Female,"3716 North Boulevard",41.64,-88.44,29281,59699,71110,688,1,2010-01-10 00:00:00.000
381,26,69,1994,2,Male,"5101 Birch Lane",38.72,-90.47,25163,51306,68198,675,1,2010-01-10 00:00:00.000
1316,27,65,1993,2,Female,"711 Norfolk Drive",40.6,-80.65,16314,33266,0,693,5,2010-01-10 00:00:00.000
595,79,66,1941,2,Male,"132 Lexington Drive",36.5,-78.55,18100,29041,4427,699,4,2010-01-10 00:00:00.000
636,47,69,1973,2,Female,"1342 Hill Lane",41.83,-87.68,11951,24372,63295,793,4,2010-01-10 00:00:00.000
533,22,65,1997,9,Male,"385 Lexington Boulevard",32.71,-102.65,15183,30961,42597,677,1,2010-01-10 00:00:00.000
295,53,69,1966,11,Male,"914 Spruce Drive",40.79,-90.16,14739,30054,60128,681,1,2010-01-10 00:00:00.000
1749,50,61,1969,7,Female,"415 Elm Street",42.39,-83.05,8658,17657,21899,614,2,2010-01-10 00:00:00.000
1884,18,64,2001,5,Male,"660 Seventh Drive",39.98,-82.98,28092,57281,89114,850,1,2010-01-10 00:00:00.000
720,36,65,1983,5,Female,"980 Federal Drive",42.38,-83.1,9710,19800,40038,682,3,2010-01-10 00:00:00.000
518,31,61,1988,4,Male,"558 North Street",44.06,-70.39,22283,45433,91998,523,1,2010-01-10 00:00:00.000
522,26,65,1994,2,Female,"4726 Third Street",38.46,-85.95,21313,43454,79295,774,2,2010-01-10 00:00:00.000
690,71,64,1948,3,Female,"149 Burns Boulevard",39.59,-105.01,31024,67186,29682,692,1,2010-01-10 00:00:00.000
1059,50,64,1969,4,Male,"9762 Pine Street",35.43,-82.5,22345,45560,79660,644,3,2010-01-10 00:00:00.000
1423,23,55,1996,3,Female,"989 Hill Avenue",28.8,-81.88,11204,22844,37625,689,1,2010-01-10 00:00:00.000
